"Order","Package","Version","Role","SourceURL","ArchiveURL"
51,"glmnet","4.1-8","core","https://cran.r-project.org/src/contrib/glmnet_4.1-8.tar.gz","https://cran.r-project.org/src/contrib/Archive/glmnet/glmnet_4.1-8.tar.gz"
52,"jquerylib","0.1.4","transitive","https://cran.r-project.org/src/contrib/jquerylib_0.1.4.tar.gz","https://cran.r-project.org/src/contrib/Archive/jquerylib/jquerylib_0.1.4.tar.gz"
53,"pkgbuild","1.4.3","transitive","https://cran.r-project.org/src/contrib/pkgbuild_1.4.3.tar.gz","https://cran.r-project.org/src/contrib/Archive/pkgbuild/pkgbuild_1.4.3.tar.gz"
54,"purrr","1.0.2","transitive","https://cran.r-project.org/src/contrib/purrr_1.0.2.tar.gz","https://cran.r-project.org/src/contrib/Archive/purrr/purrr_1.0.2.tar.gz"
55,"sass","0.4.8","transitive","https://cran.r-project.org/src/contrib/sass_0.4.8.tar.gz","https://cran.r-project.org/src/contrib/Archive/sass/sass_0.4.8.tar.gz"
56,"stringr","1.5.1","transitive","https://cran.r-project.org/src/contrib/stringr_1.5.1.tar.gz","https://cran.r-project.org/src/contrib/Archive/stringr/stringr_1.5.1.tar.gz"
57,"bslib","0.6.1","transitive","https://cran.r-project.org/src/contrib/bslib_0.6.1.tar.gz","https://cran.r-project.org/src/contrib/Archive/bslib/bslib_0.6.1.tar.gz"
58,"pkgload","1.3.4","transitive","https://cran.r-project.org/src/contrib/pkgload_1.3.4.tar.gz","https://cran.r-project.org/src/contrib/Archive/pkgload/pkgload_1.3.4.tar.gz"
59,"rmarkdown","2.25","documentation","https://cran.r-project.org/src/contrib/rmarkdown_2.25.tar.gz","https://cran.r-project.org/src/contrib/Archive/rmarkdown/rmarkdown_2.25.tar.gz"
60,"roxygen2","7.3.1","documentation","https://cran.r-project.org/src/contrib/roxygen2_7.3.1.tar.gz","https://cran.r-project.org/src/contrib/Archive/roxygen2/roxygen2_7.3.1.tar.gz"
